0,1,2,3,4,5,6,7,8,9,10,11,12,13
"{'key': 'rank', 'value': '40'}","{'key': 'revenues', 'value': '68678'}","{'key': 'revChange', 'value': '-2.1'}","{'key': 'profits', 'value': '9085'}","{'key': 'prftChange', 'value': '164.3'}","{'key': 'assets', 'value': '541329'}","{'key': 'totSHEqty', 'value': '100470'}","{'key': 'mktVal', 'value': '73218'}","{'key': 'prftPctSls', 'value': '13.2'}","{'key': 'prftPctAsts', 'value': '1.7'}","{'key': 'prftPctSHEqty', 'value': '9'}","{'key': 'industry', 'value': 'Insurance: Property and Casualty (Stock)'}","{'key': 'hqState', 'value': 'NY'}","{'fieldMeta': {'title': 'Company', 'type': 'Text', 'importField': 'title', 'order': 'desc'}, 'key': 'title', 'value': 'American International Group'}"
"{'key': 'rank', 'value': '39'}","{'key': 'revenues', 'value': '71312'}","{'key': 'revChange', 'value': '6.1'}","{'key': 'profits', 'value': '13831'}","{'key': 'prftChange', 'value': '27.4'}","{'key': 'assets', 'value': '132683'}","{'key': 'totSHEqty', 'value': '74053'}","{'key': 'mktVal', 'value': '277883'}","{'key': 'prftPctSls', 'value': '19.4'}","{'key': 'prftPctAsts', 'value': '10.4'}","{'key': 'prftPctSHEqty', 'value': '18.7'}","{'key': 'industry', 'value': 'Pharmaceuticals'}","{'key': 'hqState', 'value': 'NJ'}","{'fieldMeta': {'title': 'Company', 'type': 'Text', 'importField': 'title', 'order': 'desc'}, 'key': 'title', 'value': 'Johnson &amp; Johnson'}"
"{'key': 'rank', 'value': '38'}","{'key': 'revenues', 'value': '71458'}","{'key': 'revChange', 'value': '15.8'}","{'key': 'profits', 'value': '2490'}","{'key': 'prftChange', 'value': '-6.2'}","{'key': 'assets', 'value': '59575'}","{'key': 'totSHEqty', 'value': '24765'}","{'key': 'mktVal', 'value': '28118'}","{'key': 'prftPctSls', 'value': '3.5'}","{'key': 'prftPctAsts', 'value': '4.2'}","{'key': 'prftPctSHEqty', 'value': '10.1'}","{'key': 'industry', 'value': 'Health Care: Insurance and Managed Care'}","{'key': 'hqState', 'value': 'IN'}","{'fieldMeta': {'title': 'Company', 'type': 'Text', 'importField': 'title', 'order': 'desc'}, 'key': 'title', 'value': 'WellPoint'}"
"{'key': 'rank', 'value': '36'}","{'key': 'revenues', 'value': '72596'}","{'key': 'revChange', 'value': '-1'}","{'key': 'profits', 'value': '1971'}","{'key': 'prftChange', 'value': '-34.3'}","{'key': 'assets', 'value': '44553'}","{'key': 'totSHEqty', 'value': '16231'}","{'key': 'mktVal', 'value': '38313'}","{'key': 'prftPctSls', 'value': '2.7'}","{'key': 'prftPctAsts', 'value': '4.4'}","{'key': 'prftPctSHEqty', 'value': '12.1'}","{'key': 'industry', 'value': 'General Merchandisers'}","{'key': 'hqState', 'value': 'MN'}","{'fieldMeta': {'title': 'Company', 'type': 'Text', 'importField': 'title', 'order': 'desc'}, 'key': 'title', 'value': 'Target'}"
"{'key': 'rank', 'value': '37'}","{'key': 'revenues', 'value': '72217'}","{'key': 'revChange', 'value': '0.8'}","{'key': 'profits', 'value': '2450'}","{'key': 'prftChange', 'value': '15.2'}","{'key': 'assets', 'value': '35481'}","{'key': 'totSHEqty', 'value': '19454'}","{'key': 'mktVal', 'value': '62739'}","{'key': 'prftPctSls', 'value': '3.4'}","{'key': 'prftPctAsts', 'value': '6.9'}","{'key': 'prftPctSHEqty', 'value': '12.6'}","{'key': 'industry', 'value': 'Food and Drug Stores'}","{'key': 'hqState', 'value': 'IL'}","{'fieldMeta': {'title': 'Company', 'type': 'Text', 'importField': 'title', 'order': 'desc'}, 'key': 'title', 'value': 'Walgreen Co.'}"
"{'key': 'rank', 'value': '34'}","{'key': 'revenues', 'value': '77849'}","{'key': 'revChange', 'value': '5.6'}","{'key': 'profits', 'value': '21863'}","{'key': 'prftChange', 'value': '28.8'}","{'key': 'assets', 'value': '142431'}","{'key': 'totSHEqty', 'value': '78944'}","{'key': 'mktVal', 'value': '340246'}","{'key': 'prftPctSls', 'value': '28.1'}","{'key': 'prftPctAsts', 'value': '15.3'}","{'key': 'prftPctSHEqty', 'value': '27.7'}","{'key': 'industry', 'value': 'Computer Software'}","{'key': 'hqState', 'value': 'WA'}","{'fieldMeta': {'title': 'Company', 'type': 'Text', 'importField': 'title', 'order': 'desc'}, 'key': 'title', 'value': 'Microsoft'}"
"{'key': 'rank', 'value': '35'}","{'key': 'revenues', 'value': '74452'}","{'key': 'revChange', 'value': '21.9'}","{'key': 'profits', 'value': '274'}","{'key': 'prftChange', 'value': ''}","{'key': 'assets', 'value': '40159'}","{'key': 'totSHEqty', 'value': '9746'}","{'key': 'mktVal', 'value': '154480'}","{'key': 'prftPctSls', 'value': '0.4'}","{'key': 'prftPctAsts', 'value': '0.7'}","{'key': 'prftPctSHEqty', 'value': '2.8'}","{'key': 'industry', 'value': 'Internet Services and Retailing'}","{'key': 'hqState', 'value': 'WA'}","{'fieldMeta': {'title': 'Company', 'type': 'Text', 'importField': 'title', 'order': 'desc'}, 'key': 'title', 'value': 'Amazon.com'}"
"{'key': 'rank', 'value': '33'}","{'key': 'revenues', 'value': '78812'}","{'key': 'revChange', 'value': '5.4'}","{'key': 'profits', 'value': '5385'}","{'key': 'prftChange', 'value': '18.7'}","{'key': 'assets', 'value': '40518'}","{'key': 'totSHEqty', 'value': '12522'}","{'key': 'mktVal', 'value': '109306'}","{'key': 'prftPctSls', 'value': '6.8'}","{'key': 'prftPctAsts', 'value': '13.3'}","{'key': 'prftPctSHEqty', 'value': '43'}","{'key': 'industry', 'value': 'Specialty Retailers: Other'}","{'key': 'hqState', 'value': 'GA'}","{'fieldMeta': {'title': 'Company', 'type': 'Text', 'importField': 'title', 'order': 'desc'}, 'key': 'title', 'value': 'Home Depot'}"
"{'key': 'rank', 'value': '31'}","{'key': 'revenues', 'value': '84167'}","{'key': 'revChange', 'value': '-1.1'}","{'key': 'profits', 'value': '11312'}","{'key': 'prftChange', 'value': '5.2'}","{'key': 'assets', 'value': '139263'}","{'key': 'totSHEqty', 'value': '68064'}","{'key': 'mktVal', 'value': '218539'}","{'key': 'prftPctSls', 'value': '13.4'}","{'key': 'prftPctAsts', 'value': '8.1'}","{'key': 'prftPctSHEqty', 'value': '16.6'}","{'key': 'industry', 'value': 'Household and Personal Products'}","{'key': 'hqState', 'value': 'OH'}","{'fieldMeta': {'title': 'Company', 'type': 'Text', 'importField': 'title', 'order': 'desc'}, 'key': 'title', 'value': 'Procter &amp; Gamble'}"
"{'key': 'rank', 'value': '32'}","{'key': 'revenues', 'value': '81221'}","{'key': 'revChange', 'value': '0.7'}","{'key': 'profits', 'value': '48668'}","{'key': 'prftChange', 'value': '343.2'}","{'key': 'assets', 'value': '1966061'}","{'key': 'totSHEqty', 'value': '12835'}","{'key': 'mktVal', 'value': '2509'}","{'key': 'prftPctSls', 'value': '59.9'}","{'key': 'prftPctAsts', 'value': '2.5'}","{'key': 'prftPctSHEqty', 'value': '379.2'}","{'key': 'industry', 'value': 'Diversified Financials'}","{'key': 'hqState', 'value': 'VA'}","{'fieldMeta': {'title': 'Company', 'type': 'Text', 'importField': 'title', 'order': 'desc'}, 'key': 'title', 'value': 'Freddie Mac'}"
"{'key': 'rank', 'value': '29'}","{'key': 'revenues', 'value': '88069'}","{'key': 'revChange', 'value': '-3.5'}","{'key': 'profits', 'value': '21878'}","{'key': 'prftChange', 'value': '15.8'}","{'key': 'assets', 'value': '1527015'}","{'key': 'totSHEqty', 'value': '170142'}","{'key': 'mktVal', 'value': '261217'}","{'key': 'prftPctSls', 'value': '24.8'}","{'key': 'prftPctAsts', 'value': '1.4'}","{'key': 'prftPctSHEqty', 'value': '12.9'}","{'key': 'industry', 'value': 'Commercial Banks'}","{'key': 'hqState', 'value': 'CA'}","{'fieldMeta': {'title': 'Company', 'type': 'Text', 'importField': 'title', 'order': 'desc'}, 'key': 'title', 'value': 'Wells Fargo'}"
"{'key': 'rank', 'value': '30'}","{'key': 'revenues', 'value': '86623'}","{'key': 'revChange', 'value': '6'}","{'key': 'profits', 'value': '4585'}","{'key': 'prftChange', 'value': '17.6'}","{'key': 'assets', 'value': '92663'}","{'key': 'totSHEqty', 'value': '14875'}","{'key': 'mktVal', 'value': '93289'}","{'key': 'prftPctSls', 'value': '5.3'}","{'key': 'prftPctAsts', 'value': '4.9'}","{'key': 'prftPctSHEqty', 'value': '30.8'}","{'key': 'industry', 'value': 'Aerospace and Defense'}","{'key': 'hqState', 'value': 'IL'}","{'fieldMeta': {'title': 'Company', 'type': 'Text', 'importField': 'title', 'order': 'desc'}, 'key': 'title', 'value': 'Boeing'}"
"{'key': 'rank', 'value': '27'}","{'key': 'revenues', 'value': '89804'}","{'key': 'revChange', 'value': '0.9'}","{'key': 'profits', 'value': '1342'}","{'key': 'prftChange', 'value': '9.7'}","{'key': 'assets', 'value': '43752'}","{'key': 'totSHEqty', 'value': '20156'}","{'key': 'mktVal', 'value': '28453'}","{'key': 'prftPctSls', 'value': '1.5'}","{'key': 'prftPctAsts', 'value': '3.1'}","{'key': 'prftPctSHEqty', 'value': '6.7'}","{'key': 'industry', 'value': 'Food Production'}","{'key': 'hqState', 'value': 'IL'}","{'fieldMeta': {'title': 'Company', 'type': 'Text', 'importField': 'title', 'order': 'desc'}, 'key': 'title', 'value': 'Archer Daniels Midland'}"
"{'key': 'rank', 'value': '28'}","{'key': 'revenues', 'value': '89140'}","{'key': 'revChange', 'value': '11.8'}","{'key': 'profits', 'value': '434'}","{'key': 'prftChange', 'value': '-39.7'}","{'key': 'assets', 'value': '18919'}","{'key': 'totSHEqty', 'value': '2320'}","{'key': 'mktVal', 'value': '15033'}","{'key': 'prftPctSls', 'value': '0.5'}","{'key': 'prftPctAsts', 'value': '2.3'}","{'key': 'prftPctSHEqty', 'value': '18.7'}","{'key': 'industry', 'value': 'Wholesalers: Health Care'}","{'key': 'hqState', 'value': 'PA'}","{'fieldMeta': {'title': 'Company', 'type': 'Text', 'importField': 'title', 'order': 'desc'}, 'key': 'title', 'value': 'AmerisourceBergen'}"
"{'key': 'rank', 'value': '26'}","{'key': 'revenues', 'value': '93629'}","{'key': 'revChange', 'value': '3.2'}","{'key': 'profits', 'value': '13673'}","{'key': 'prftChange', 'value': '81.3'}","{'key': 'assets', 'value': '1880382'}","{'key': 'totSHEqty', 'value': '204339'}","{'key': 'mktVal', 'value': '144627'}","{'key': 'prftPctSls', 'value': '14.6'}","{'key': 'prftPctAsts', 'value': '0.7'}","{'key': 'prftPctSHEqty', 'value': '6.7'}","{'key': 'industry', 'value': 'Commercial Banks'}","{'key': 'hqState', 'value': 'NY'}","{'fieldMeta': {'title': 'Company', 'type': 'Text', 'importField': 'title', 'order': 'desc'}, 'key': 'title', 'value': 'Citigroup'}"
"{'key': 'rank', 'value': '25'}","{'key': 'revenues', 'value': '93991'}","{'key': 'revChange', 'value': '22.4'}","{'key': 'profits', 'value': '2112'}","{'key': 'prftChange', 'value': '-37.7'}","{'key': 'assets', 'value': '28385'}","{'key': 'totSHEqty', 'value': '10920'}","{'key': 'mktVal', 'value': '25490'}","{'key': 'prftPctSls', 'value': '2.2'}","{'key': 'prftPctAsts', 'value': '7.4'}","{'key': 'prftPctSHEqty', 'value': '19.3'}","{'key': 'industry', 'value': 'Petroleum Refining'}","{'key': 'hqState', 'value': 'OH'}","{'fieldMeta': {'title': 'Company', 'type': 'Text', 'importField': 'title', 'order': 'desc'}, 'key': 'title', 'value': 'Marathon Petroleum'}"
"{'key': 'rank', 'value': '24'}","{'key': 'revenues', 'value': '98375'}","{'key': 'revChange', 'value': '1.7'}","{'key': 'profits', 'value': '1519'}","{'key': 'prftChange', 'value': '1.5'}","{'key': 'assets', 'value': '29281'}","{'key': 'totSHEqty', 'value': '5384'}","{'key': 'mktVal', 'value': '22294'}","{'key': 'prftPctSls', 'value': '1.5'}","{'key': 'prftPctAsts', 'value': '5.2'}","{'key': 'prftPctSHEqty', 'value': '28.2'}","{'key': 'industry', 'value': 'Food and Drug Stores'}","{'key': 'hqState', 'value': 'OH'}","{'fieldMeta': {'title': 'Company', 'type': 'Text', 'importField': 'title', 'order': 'desc'}, 'key': 'title', 'value': 'Kroger'}"
"{'key': 'rank', 'value': '22'}","{'key': 'revenues', 'value': '101093'}","{'key': 'revChange', 'value': '-6'}","{'key': 'profits', 'value': '334'}","{'key': 'prftChange', 'value': '-68.8'}","{'key': 'assets', 'value': '25819'}","{'key': 'totSHEqty', 'value': '5975'}","{'key': 'mktVal', 'value': '23995'}","{'key': 'prftPctSls', 'value': '0.3'}","{'key': 'prftPctAsts', 'value': '1.3'}","{'key': 'prftPctSHEqty', 'value': '5.6'}","{'key': 'industry', 'value': 'Wholesalers: Health Care'}","{'key': 'hqState', 'value': 'OH'}","{'fieldMeta': {'title': 'Company', 'type': 'Text', 'importField': 'title', 'order': 'desc'}, 'key': 'title', 'value': 'Cardinal Health'}"
"{'key': 'rank', 'value': '23'}","{'key': 'revenues', 'value': '99751'}","{'key': 'revChange', 'value': '-4.6'}","{'key': 'profits', 'value': '16483'}","{'key': 'prftChange', 'value': '-0.7'}","{'key': 'assets', 'value': '126223'}","{'key': 'totSHEqty', 'value': '22792'}","{'key': 'mktVal', 'value': '200447'}","{'key': 'prftPctSls', 'value': '16.5'}","{'key': 'prftPctAsts', 'value': '13.1'}","{'key': 'prftPctSHEqty', 'value': '72.3'}","{'key': 'industry', 'value': 'Information Technology Services'}","{'key': 'hqState', 'value': 'NY'}","{'fieldMeta': {'title': 'Company', 'type': 'Text', 'importField': 'title', 'order': 'desc'}, 'key': 'title', 'value': 'International Business Machines'}"
"{'key': 'rank', 'value': '21'}","{'key': 'revenues', 'value': '101697'}","{'key': 'revChange', 'value': '1.6'}","{'key': 'profits', 'value': '11431'}","{'key': 'prftChange', 'value': '172.9'}","{'key': 'assets', 'value': '2102273'}","{'key': 'totSHEqty', 'value': '232685'}","{'key': 'mktVal', 'value': '181086'}","{'key': 'prftPctSls', 'value': '11.2'}","{'key': 'prftPctAsts', 'value': '0.5'}","{'key': 'prftPctSHEqty', 'value': '4.9'}","{'key': 'industry', 'value': 'Commercial Banks'}","{'key': 'hqState', 'value': 'NC'}","{'fieldMeta': {'title': 'Company', 'type': 'Text', 'importField': 'title', 'order': 'desc'}, 'key': 'title', 'value': 'Bank of America'}"
"{'key': 'rank', 'value': '19'}","{'key': 'revenues', 'value': '105156'}","{'key': 'revChange', 'value': '6.1'}","{'key': 'profits', 'value': '2039'}","{'key': 'prftChange', 'value': '19.3'}","{'key': 'assets', 'value': '30283'}","{'key': 'totSHEqty', 'value': '10833'}","{'key': 'mktVal', 'value': '49125'}","{'key': 'prftPctSls', 'value': '1.9'}","{'key': 'prftPctAsts', 'value': '6.7'}","{'key': 'prftPctSHEqty', 'value': '18.8'}","{'key': 'industry', 'value': 'Specialty Retailers: Other'}","{'key': 'hqState', 'value': 'WA'}","{'fieldMeta': {'title': 'Company', 'type': 'Text', 'importField': 'title', 'order': 'desc'}, 'key': 'title', 'value': 'Costco Wholesale'}"
"{'key': 'rank', 'value': '20'}","{'key': 'revenues', 'value': '104620'}","{'key': 'revChange', 'value': '10.8'}","{'key': 'profits', 'value': '1845'}","{'key': 'prftChange', 'value': '40.5'}","{'key': 'assets', 'value': '53548'}","{'key': 'totSHEqty', 'value': '21837'}","{'key': 'mktVal', 'value': '58272'}","{'key': 'prftPctSls', 'value': '1.8'}","{'key': 'prftPctAsts', 'value': '3.4'}","{'key': 'prftPctSHEqty', 'value': '8.4'}","{'key': 'industry', 'value': 'Health Care: Pharmacy and Other Services'}","{'key': 'hqState', 'value': 'MO'}","{'fieldMeta': {'title': 'Company', 'type': 'Text', 'importField': 'title', 'order': 'desc'}, 'key': 'title', 'value': 'Express Scripts Holding'}"
"{'key': 'rank', 'value': '18'}","{'key': 'revenues', 'value': '106283'}","{'key': 'revChange', 'value': '-1.8'}","{'key': 'profits', 'value': '17923'}","{'key': 'prftChange', 'value': '-15.8'}","{'key': 'assets', 'value': '2415689'}","{'key': 'totSHEqty', 'value': '211178'}","{'key': 'mktVal', 'value': '229792'}","{'key': 'prftPctSls', 'value': '16.9'}","{'key': 'prftPctAsts', 'value': '0.7'}","{'key': 'prftPctSHEqty', 'value': '8.5'}","{'key': 'industry', 'value': 'Commercial Banks'}","{'key': 'hqState', 'value': 'NY'}","{'fieldMeta': {'title': 'Company', 'type': 'Text', 'importField': 'title', 'order': 'desc'}, 'key': 'title', 'value': 'J.P. Morgan Chase &amp; Co.'}"
"{'key': 'rank', 'value': '17'}","{'key': 'revenues', 'value': '112298'}","{'key': 'revChange', 'value': '-6.7'}","{'key': 'profits', 'value': '5113'}","{'key': 'prftChange', 'value': ''}","{'key': 'assets', 'value': '105676'}","{'key': 'totSHEqty', 'value': '27269'}","{'key': 'mktVal', 'value': '61326'}","{'key': 'prftPctSls', 'value': '4.6'}","{'key': 'prftPctAsts', 'value': '4.8'}","{'key': 'prftPctSHEqty', 'value': '18.8'}","{'key': 'industry', 'value': 'Computers, Office Equipment'}","{'key': 'hqState', 'value': 'CA'}","{'fieldMeta': {'title': 'Company', 'type': 'Text', 'importField': 'title', 'order': 'desc'}, 'key': 'title', 'value': 'Hewlett-Packard'}"
"{'key': 'rank', 'value': '15'}","{'key': 'revenues', 'value': '122455'}","{'key': 'revChange', 'value': '-0.2'}","{'key': 'profits', 'value': '1338'}","{'key': 'prftChange', 'value': '-4.6'}","{'key': 'assets', 'value': '34786'}","{'key': 'totSHEqty', 'value': '7070'}","{'key': 'mktVal', 'value': '40633'}","{'key': 'prftPctSls', 'value': '1.1'}","{'key': 'prftPctAsts', 'value': '3.8'}","{'key': 'prftPctSHEqty', 'value': '18.9'}","{'key': 'industry', 'value': 'Wholesalers: Health Care'}","{'key': 'hqState', 'value': 'CA'}","{'fieldMeta': {'title': 'Company', 'type': 'Text', 'importField': 'title', 'order': 'desc'}, 'key': 'title', 'value': 'McKesson'}"
"{'key': 'rank', 'value': '16'}","{'key': 'revenues', 'value': '120550'}","{'key': 'revChange', 'value': '4.1'}","{'key': 'profits', 'value': '11497'}","{'key': 'prftChange', 'value': '1213'}","{'key': 'assets', 'value': '274098'}","{'key': 'totSHEqty', 'value': '38836'}","{'key': 'mktVal', 'value': '196994'}","{'key': 'prftPctSls', 'value': '9.5'}","{'key': 'prftPctAsts', 'value': '4.2'}","{'key': 'prftPctSHEqty', 'value': '29.6'}","{'key': 'industry', 'value': 'Telecommunications'}","{'key': 'hqState', 'value': 'NY'}","{'fieldMeta': {'title': 'Company', 'type': 'Text', 'importField': 'title', 'order': 'desc'}, 'key': 'title', 'value': 'Verizon Communications'}"
"{'key': 'rank', 'value': '14'}","{'key': 'revenues', 'value': '122489'}","{'key': 'revChange', 'value': '10.7'}","{'key': 'profits', 'value': '5625'}","{'key': 'prftChange', 'value': '1.8'}","{'key': 'assets', 'value': '81882'}","{'key': 'totSHEqty', 'value': '32149'}","{'key': 'mktVal', 'value': '81103'}","{'key': 'prftPctSls', 'value': '4.6'}","{'key': 'prftPctAsts', 'value': '6.9'}","{'key': 'prftPctSHEqty', 'value': '17.5'}","{'key': 'industry', 'value': 'Health Care: Insurance and Managed Care'}","{'key': 'hqState', 'value': 'MN'}","{'fieldMeta': {'title': 'Company', 'type': 'Text', 'importField': 'title', 'order': 'desc'}, 'key': 'title', 'value': 'UnitedHealth Group'}"
"{'key': 'rank', 'value': '12'}","{'key': 'revenues', 'value': '126761'}","{'key': 'revChange', 'value': '2.9'}","{'key': 'profits', 'value': '4592'}","{'key': 'prftChange', 'value': '18.4'}","{'key': 'assets', 'value': '71526'}","{'key': 'totSHEqty', 'value': '37938'}","{'key': 'mktVal', 'value': '88516'}","{'key': 'prftPctSls', 'value': '3.6'}","{'key': 'prftPctAsts', 'value': '6.4'}","{'key': 'prftPctSHEqty', 'value': '12.1'}","{'key': 'industry', 'value': 'Food and Drug Stores'}","{'key': 'hqState', 'value': 'RI'}","{'fieldMeta': {'title': 'Company', 'type': 'Text', 'importField': 'title', 'order': 'desc'}, 'key': 'title', 'value': 'CVS Caremark'}"
