company,rank,revenue,sector,city,state
"SunCoke Energy, Inc.",970,1914.1,"Mining, Crude-Oil Production",,IL
"HCP, Inc.",971,1913.7,Real estate,,CA
"Stericycle, Inc.",972,1913.1,Waste Management,,IL
Stewart Information Services Corporation,973,1910.4,Insurance: Property and Casualty (Stock),,TX
BlueLinx Holdings Inc.,974,1907.8,Wholesalers: Diversified,,GA
"Health Care REIT, Inc.",975,1901.4,Real estate,,OH
The Toro Company,956,1958.7,Construction and Farm Machinery,,MN
"Fred's, Inc.",957,1955.3,Food and Drug Stores,,TN
IDEX Corporation,958,1954.3,Industrial Machinery,,IL
Pool Corporation,959,1954,Wholesalers: Diversified,,LA
"RPC, Inc.",960,1945,"Oil and Gas Equipment, Services",,GA
Concho Resources Inc.,961,1939.8,"Mining, Crude-Oil Production",,TX
A.O. Smith Corporation,962,1939.3,"Electronics, Electrical Equip.",,WI
Belden Inc.,963,1936.4,"Electronics, Electrical Equip.",,MO
"Acuity Brands, Inc.",964,1933.7,"Electronics, Electrical Equip.",,GA
"Inergy, L.P.",945,2006.8,Energy,,MO
HNI Corporation,946,2004,"Home Equipment, Furnishings",,IA
"Hologic, Inc.",947,2002.7,Medical Products and Equipment,,MA
Liberty Media Corporation,948,1999,Entertainment,,CO
Esterline Technologies Corporation,949,1992.3,Aerospace and Defense,,WA
Metals USA Holdings Corp.,950,1983.6,Metals,,FL
Rexnord Corporation,951,1969.6,Industrial Machinery,,WI
"Burger King Worldwide, Inc.",952,1966.3,Food Services,,FL
"KAR Auction Services, Inc.",953,1963.4,Wholesalers: Diversified,,IN
"Hawaiian Holdings, Inc.",954,1962.4,Airlines,,HI
H.B. Fuller Company,955,1959.4,Chemicals,,MN
Trimble Navigation Limited,935,2040.1,"Scientific,Photographic and Control Equipment",,CA
"Martin Marietta Materials, Inc.",936,2037.7,"Building Materials, Glass",,NC
"Werner Enterprises, Inc.",937,2036.4,"Trucking, Truck Leasing",,NE
"Key Energy Services, Inc.",938,2035.9,"Oil and Gas Equipment, Services",,TX
Affinia Group Intermediate Holdings Inc.,939,2035,Motor Vehicles and Parts,,MI
"Alliance Holdings GP, L.P.",940,2033.9,"Mining, Crude-Oil Production",,OK
Carpenter Technology Corporation,941,2028.7,Metals,,PA
"Heartland Payment Systems, Inc.",942,2026.6,Financial Data Services,,NJ
Titan Machinery Inc.,943,2020.9,Specialty Retailers: Other,,ND
"Quiksilver, Inc.",944,2013.2,Apparel,,CA
"Bio-Rad Laboratories, Inc.",925,2069.2,Medical Products and Equipment,,CA
Briggs &amp; Stratton Corporation,926,2066.5,Industrial Machinery,,WI
Arkansas Best Corporation,927,2066,"Trucking, Truck Leasing",,AR
"The Pep Boys - Manny, Moe &amp; Jack",928,2065.2,Specialty Retailers: Other,,PA
AAR Corp.,929,2065,Aerospace and Defense,,IL
Monster Beverage Corporation,930,2060.7,Beverages,,CA
Edgen Group Inc.,931,2059,Metals,,LA
"Universal Forest Products, Inc.",932,2054.9,Forest and Paper Products,,MI
"PriceSmart, Inc.",933,2050.7,Specialty Retailers: Other,,CA
"Beacon Roofing Supply, Inc.",934,2043.7,Wholesalers: Diversified,,MA
"PSS World Medical, Inc.",916,2102,Wholesalers: Health Care,,FL
Symetra Financial Corp.,917,2101.2,"Insurance: Life, Health (stock)",,WA
DeVry Inc.,918,2089.8,Education,,IL
"ProLogis, Inc.",919,2088.7,Real estate,,CA
"New York Community Bancorp, Inc.",920,2088.5,zMiscellaneous,,NY
Granite Construction Incorporated,921,2083,"Engineering, Construction",,CA
"MWI Veterinary Supply, Inc.",922,2075.1,Wholesalers: Diversified,,ID
The New York Times Company,923,2071.2,"Publishing, Printing",,NY
"Lender Processing Services, Inc.",924,2069.9,Financial Data Services,,FL
Curtiss-Wright Corporation,914,2108.5,Aerospace and Defense,,NJ
"A. Schulman, Inc.",915,2106.8,Chemicals,,OH
Mutual of America Life Insurance Company,905,2134.1,"Insurance: Life, Health (Mutual)",,NY
Convergys Corporation,906,2133.8,Diversified Outsourcing Services,,OH
Panera Bread Company,907,2130.1,Food Services,,MO
Teledyne Technologies Incorporated,908,2127.3,zMiscellaneous,,CA
Knights of Columbus,909,2125.8,"Insurance: Life, Health (Mutual)",,CT
SEACOR Holdings Inc.,910,2119.1,"Oil and Gas Equipment, Services",,FL
"PerkinElmer, Inc.",911,2115.2,"Scientific,Photographic and Control Equipment",,MA
Kirby Corporation,912,2112.7,zMiscellaneous,,TX
"Old Dominion Freight Line, Inc.",913,2110.5,"Trucking, Truck Leasing",,NC
Equifax Inc.,895,2160.5,Financial Data Services,,GA
"PC Connection, Inc.",896,2158.9,Specialty Retailers: Other,,NH
"Insperity, Inc.",897,2158.8,Diversified Outsourcing Services,,TX
"Alliance One International, Inc.",898,2150.8,Tobacco,,NC
International Game Technology,899,2150.7,Industrial Machinery,,NV
Scholastic Corporation,900,2148.9,"Publishing, Printing",,NY
"Express, Inc.",901,2148.1,Specialty Retailers: Apparel,,OH
"Willbros Group, Inc.",902,2144.7,"Oil and Gas Equipment, Services",,TX
"Allison Transmission Holdings, Inc.",903,2141.8,Motor Vehicles and Parts,,IN
"Guitar Center Holdings, Inc.",904,2139.2,Specialty Retailers: Other,,CA
"TreeHouse Foods, Inc.",885,2182.1,Food Consumer Products,,IL
"Intuitive Surgical, Inc",886,2178.8,Medical Products and Equipment,,CA
"Itron, Inc.",887,2178.2,"Electronics, Electrical Equip.",,WA
Universal American Corp.,888,2177.5,Health Care: Insurance and Managed Care,,NY
Whiting Petroleum Corporation,889,2173.5,"Mining, Crude-Oil Production",,CO
"BMC Software, Inc.",890,2172,Computer Software,,TX
"Nu Skin Enterprises, Inc.",891,2169.7,Household and Personal Products,,UT
HealthSouth Corporation,892,2162.9,Health Care: Medical Facilities,,AL
"Valassis Communications, Inc.",893,2162.1,"Publishing, Printing",,MI
Jack in the Box Inc.,894,2162,Food Services,,CA
"Nortek, Inc.",878,2201.3,Industrial Machinery,,RI
Equity Residential,879,2193.3,Real estate,,IL
AOL Inc.,880,2191.7,Internet Services and Retailing,,NY
"Mueller Industries, Inc.",881,2189.9,Industrial Machinery,,TN
"Clean Harbors, Inc.",882,2187.9,Waste Management,,MA
E*Trade Financial Corporation,883,2185.5,Securities,,NY
Olin Corporation,884,2184.7,Chemicals,,MO
Vectren Corporation,867,2232.8,Utilities: Gas and Electric,,IN
"Vishay Intertechnology, Inc.",868,2230.1,Semiconductors and Other Electronic Components,,PA
"Paychex, Inc.",869,2229.8,Diversified Outsourcing Services,,NY
"J. Crew Group, Inc.",870,2227.7,Specialty Retailers: Apparel,,NY
NewMarket Corporation,871,2223.3,Chemicals,,VA
"Aaron's, Inc.",872,2222.6,Specialty Retailers: Other,,GA
"Ulta Salon, Cosmetics &amp; Fragrance, Inc.",873,2220.3,Specialty Retailers: Other,,IL
"Valhi, Inc.",874,2218.6,Chemicals,,TX
"Popular, Inc.",875,2218,Commercial Banks,,PR
Global Payments Inc.,876,2203.8,Financial Data Services,,GA
"Coinstar, Inc.",877,2202,Specialty Retailers: Other,,WA
Plexus Corp.,856,2306.7,Semiconductors and Other Electronic Components,,WI
"Broadridge Financial Solutions, Inc.",857,2303.5,Financial Data Services,,NY
EnerSys,858,2283.4,"Electronics, Electrical Equip.",,PA
Regis Corporation,859,2273.8,Specialty Retailers: Other,,MN
"Westar Energy, Inc.",860,2261.5,Utilities: Gas and Electric,,KS
ITT Corporation,861,2258,Industrial Machinery,,NY
DSW Inc.,862,2257.8,Specialty Retailers: Apparel,,OH
New Jersey Resources Corporation,863,2248.9,Energy,,NJ
"Xilinx, Inc.",864,2240.7,Semiconductors and Other Electronic Components,,CA
Kansas City Southern,865,2238.6,Railroads,,MO
"Brocade Communications Systems, Inc.",866,2237.8,Network and Other Communications Equipment,,CA
"MSC Industrial Direct Co., Inc.",846,2355.9,Wholesalers: Diversified,,NY
"Gardner Denver, Inc.",847,2355.5,Industrial Machinery,,PA
"QEP Resources, Inc.",848,2349.8,"Mining, Crude-Oil Production",,CO
Mettler-Toledo International Inc.,849,2341.5,"Scientific,Photographic and Control Equipment",,OH
"Ferrellgas Partners, L.P.",850,2339.1,Energy,,KS
"Groupon, Inc.",851,2334.5,Internet Services and Retailing,,IL
"AptarGroup, Inc.",852,2331,"Packaging, Containers",,IL
"Autodesk, Inc.",853,2312.2,Computer Software,,CA
Great Plains Energy Incorporated,854,2309.9,Utilities: Gas and Electric,,MO
"Scripps Networks Interactive, Inc.",855,2307.2,Entertainment,,TN
"Tower International, Inc.",837,2395.9,Motor Vehicles and Parts,,MI
Westinghouse Air Brake Technologies Corporation,838,2391.1,Industrial Machinery,,PA
"Aeropostale, Inc.",839,2386.2,Specialty Retailers: Apparel,,NY
"Sanderson Farms, Inc.",840,2386.1,Food Production,,MS
"Carter's, Inc.",841,2381.7,Apparel,,GA
ANN INC.,842,2375.5,Specialty Retailers: Apparel,,NY
"Applied Industrial Technologies, Inc.",843,2375.4,Wholesalers: Diversified,,OH
Covance Inc.,844,2365.8,Health Care: Pharmacy and Other Services,,NJ
Momentive Performance Materials Inc.,845,2357,Chemicals,,NY
Univision Communications Inc.,826,2442,Entertainment,,NY
Apria Healthcare Group Inc.,827,2436.2,Health Care: Pharmacy and Other Services,,CA
MBIA Inc.,828,2435,Insurance: Property and Casualty (Stock),,NY
Crown Castle International Corp.,829,2432.7,Telecommunications,,TX
"GNC Holdings, Inc.",830,2430,Food and Drug Stores,,PA
"WGL Holdings, Inc.",831,2425.3,Energy,,DC
Triple-S Management Corporation,832,2422,Health Care: Insurance and Managed Care,,PR
SunPower Corporation,833,2417.5,Energy,,CA
Service Corporation International,834,2410.5,zMiscellaneous,,TX
"Maxim Integrated Products, Inc.",835,2403.5,Semiconductors and Other Electronic Components,,CA
"Walter Energy, Inc.",836,2399.9,"Mining, Crude-Oil Production",,AL
WABCO Holdings Inc.,816,2477.4,Motor Vehicles and Parts,,NJ
Kemper Corporation,817,2475.2,Insurance: Property and Casualty (Stock),,IL
"Cinemark Holdings, Inc.",818,2473.5,Entertainment,,TX
Moog Inc.,819,2469.5,Aerospace and Defense,,NY
"Hyster-Yale Materials Handling, Inc.",820,2469.1,Industrial Machinery,,OH
"Benchmark Electronics, Inc.",821,2468.2,Semiconductors and Other Electronic Components,,TX
Beam Inc.,822,2465.9,Beverages,,IL
Zions Bancorporation,823,2458.6,Commercial Banks,,UT
Denbury Resources Inc.,824,2456.5,"Mining, Crude-Oil Production",,TX
Universal Corporation,825,2446.9,Tobacco,,VA
Arthur J. Gallagher &amp; Co.,806,2520.3,Diversified Financials,,IL
"Ventas, Inc.",807,2515.9,Real estate,,IL
LSI Corporation,808,2506.1,Semiconductors and Other Electronic Components,,CA
The Wendy's Company,809,2505.2,Food Services,,OH
Amerco,810,2502.7,"Trucking, Truck Leasing",,NV
"hhgregg, Inc.",811,2493.4,Specialty Retailers: Other,,IN
"Donaldson Company, Inc.",812,2493.2,Industrial Machinery,,MN
"The Men's Wearhouse, Inc.",813,2488.3,Specialty Retailers: Apparel,,TX
Boyd Gaming Corporation,814,2487.4,"Hotels, Casinos, Resorts",,NV
Pinnacle Foods Finance LLC,815,2478.5,Food Consumer Products,,NJ
Vulcan Materials Company,797,2567.3,"Building Materials, Glass",,AL
Newfield Exploration Company,798,2567,"Mining, Crude-Oil Production",,TX
Plains Exploration &amp; Production Company,799,2565.3,"Mining, Crude-Oil Production",,TX
Boise Inc.,800,2555.4,Forest and Paper Products,,ID
"Worthington Industries, Inc.",801,2534.7,Metals,,OH
Sentry Insurance Group,802,2531.6,Insurance: Property and Casualty (Mutual),,WI
"MEMC Electronic Materials, Inc.",803,2529.9,Semiconductors and Other Electronic Components,,MO
TMS International Corp.,804,2526.2,Metals,,PA
"HCC Insurance Holdings, Inc.",805,2525.8,Insurance: Property and Casualty (Stock),,TX
AMC Entertainment Inc.,787,2600.6,Entertainment,,MO
"Brown Shoe Company, Inc.",788,2598.1,Specialty Retailers: Apparel,,MO
"Citrix Systems, Inc.",789,2586.1,Network and Other Communications Equipment,,FL
Tupperware Brands Corporation,790,2583.8,Household and Personal Products,,FL
ManTech International Corporation,791,2582.3,Information Technology Services,,VA
"Chico's FAS, Inc.",792,2581.1,Specialty Retailers: Apparel,,FL
"Cracker Barrel Old Country Store, Inc.",793,2580.2,Food Services,,TN
"General Growth Properties, Inc.",794,2578.2,Real estate,,IL
"DST Systems, Inc.",795,2576.6,Financial Data Services,,MO
"Continental Resources, Inc.",796,2572.5,"Mining, Crude-Oil Production",,OK
"Guess?, Inc.",778,2658.6,Apparel,,CA
"Constellation Brands, Inc.",779,2654.3,Beverages,,NY
TD Ameritrade Holding Corporation,780,2647,Securities,,NE
West Corporation,781,2638,Diversified Outsourcing Services,,NE
Medical Mutual of Ohio,782,2634.4,Health Care: Insurance and Managed Care,,OH
"Spartan Stores, Inc.",783,2634.2,Wholesalers: Food and Grocery,,MI
Sigma-Aldrich Corporation,784,2623,Chemicals,,MO
Genesco Inc.,785,2604.8,Specialty Retailers: Apparel,,TN
Crane Co.,786,2604.6,Industrial Machinery,,CT
Southwestern Energy Company,768,2715,"Mining, Crude-Oil Production",,TX
"Tetra Tech, Inc.",769,2711.1,"Engineering, Construction",,CA
"Weis Markets, Inc.",770,2701.4,Food and Drug Stores,,PA
"Analog Devices, Inc.",771,2701.1,Semiconductors and Other Electronic Components,,MA
Comerica Incorporated,772,2681,Commercial Banks,,TX
"Annaly Capital Management, Inc.",773,2674.5,Diversified Financials,,NY
Cerner Corporation,774,2665.4,Health Care: Pharmacy and Other Services,,MO
Lam Research Corporation,775,2665.2,Semiconductors and Other Electronic Components,,CA
Teradata Corporation,776,2665,Computer Software,,OH
"Legg Mason, Inc.",777,2662.6,Securities,,MD
Albemarle Corporation,759,2745.4,Chemicals,,LA
Dresser-Rand Group Inc.,760,2736.4,Industrial Machinery,,TX
Kennametal Inc.,761,2736.2,Industrial Machinery,,PA
"Armstrong World Industries, Inc.",762,2734.6,"Building Materials, Glass",,PA
"Chipotle Mexican Grill, Inc.",763,2731.2,Food Services,,CO
"SandRidge Energy, Inc.",764,2731,"Mining, Crude-Oil Production",,OK
Moody's Corporation,765,2730.3,Diversified Financials,,NY
"Patterson-UTI Energy, Inc.",766,2723.4,"Oil and Gas Equipment, Services",,TX
Brown-Forman Corporation,767,2723,Beverages,,KY
"Urban Outfitters, Inc.",749,2794.9,Specialty Retailers: Apparel,,PA
"Landstar System, Inc.",750,2793.4,"Trucking, Truck Leasing",,FL
Mercury General Corporation,751,2783.4,Insurance: Property and Casualty (Stock),,CA
"Oceaneering International, Inc.",752,2782.6,"Oil and Gas Equipment, Services",,TX
Warner Music Group Corp.,753,2780,Entertainment,,NY
Boise Cascade Company,754,2779.1,Wholesalers: Diversified,,ID
Brookdale Senior Living Inc.,755,2770.1,Health Care: Medical Facilities,,TN
Education Management Corporation,756,2761,Education,,PA
"Amkor Technology, Inc.",757,2759.5,Semiconductors and Other Electronic Components,,AZ
Steelcase Inc.,758,2749.5,"Home Equipment, Furnishings",,MI
Packaging Corporation of America,740,2843.9,"Packaging, Containers",,IL
"LVB Acquisition, Inc.",741,2838.1,Medical Products and Equipment,,IN
Regal Entertainment Group,742,2824.2,Entertainment,,TN
International Flavors &amp; Fragrances Inc.,743,2821.4,Chemicals,,NY
"Brinker International, Inc.",744,2820.7,Food Services,,TX
Alere Inc.,745,2818.8,Medical Products and Equipment,,MA
Republic Airways Holdings Inc.,746,2810.9,Airlines,,IN
"Varian Medical Systems, Inc.",747,2807,Medical Products and Equipment,,CA
IAC/InterActiveCorp,748,2800.9,Internet Services and Retailing,,NY
"StanCorp Financial Group, Inc.",730,2898.4,"Insurance: Life, Health (stock)",,OR
"American Water Works Company, Inc.",731,2896.3,zMiscellaneous,,NJ
ON Semiconductor Corporation,732,2894.9,Semiconductors and Other Electronic Components,,AZ
Cooper-Standard Holdings Inc.,733,2880.9,Motor Vehicles and Parts,,MI
American Tower Corporation,734,2876,Telecommunications,,MA
"Fossil, Inc.",735,2857.5,Apparel,,TX
"Exterran Holdings, Inc.",736,2854.2,"Oil and Gas Equipment, Services",,TX
"Lincoln Electric Holdings, Inc.",737,2853.4,Industrial Machinery,,OH
Iasis Healthcare LLC,738,2852.8,Health Care: Medical Facilities,,TN
The Scotts Miracle-Gro Company,739,2852.8,Chemicals,,OH
The Carlyle Group L.P.,720,2973.1,Securities,,DC
"C.R. Bard, Inc.",721,2958.1,Medical Products and Equipment,,NJ
Select Medical Holdings Corporation,722,2949,Health Care: Medical Facilities,,PA
"American Axle &amp; Manufacturing Holdings, Inc.",723,2930.9,Motor Vehicles and Parts,,MI
DENTSPLY International Inc.,724,2928.4,Medical Products and Equipment,,PA
"Church &amp; Dwight Co., Inc.",725,2921.9,Household and Personal Products,,NJ
CME Group Inc.,726,2914.6,Securities,,IL
Vornado Realty Trust,727,2913.9,Real estate,,NY
Pall Corporation,728,2902.5,Industrial Machinery,,NY
"Penn National Gaming, Inc.",729,2899.5,"Hotels, Casinos, Resorts",,PA
"ScanSource, Inc.",711,3015.3,Wholesalers: Electronics and Office Equipment,,SC
Iron Mountain Incorporated,712,3007.4,Diversified Outsourcing Services,,MA
Markel Corporation,713,3000.1,Insurance: Property and Casualty (Stock),,VA
"Roper Industries, Inc.",714,2993.5,"Scientific,Photographic and Control Equipment",,FL
PolyOne Corporation,715,2992.6,Chemicals,,OH
"Diebold, Incorporated",716,2991.7,"Computers, Office Equipment",,OH
American National Insurance Company,717,2987.1,"Insurance: Life, Health (stock)",,TX
"NV Energy, Inc.",718,2979.2,Utilities: Gas and Electric,,NV
"The Bon-Ton Stores, Inc.",719,2978.8,General Merchandisers,,PA
"NBTY, Inc.",701,3061,Pharmaceuticals,,NY
"salesforce.com, inc.",702,3050.2,Computer Software,,CA
"Flowers Foods, Inc.",703,3046.5,Food Consumer Products,,GA
Harsco Corporation,704,3046,Metals,,PA
Hubbell Incorporated,705,3044.4,"Electronics, Electrical Equip.",,CT
"Valmont Industries, Inc.",706,3029.5,Construction and Farm Machinery,,NE
Huntington Bancshares Incorporated,707,3028.1,Commercial Banks,,OH
Endo Health Solutions Inc.,708,3027.4,Pharmaceuticals,,PA
"T. Rowe Price Group, Inc.",709,3022.5,Securities,,MD
Chemtura Corporation,710,3016,Chemicals,,PA
Cabela's Incorporated,691,3112.7,Specialty Retailers: Other,,NE
"TECO Energy, Inc.",692,3110.8,Utilities: Gas and Electric,,FL
CMFG Life Insurance Company,693,3103.1,"Insurance: Life, Health (stock)",,WI
Snap-on Incorporated,694,3099.2,Industrial Machinery,,WI
"Rush Enterprises, Inc.",695,3090.6,"Automotive Retailing, Services",,TX
"B/E Aerospace, Inc.",696,3085.3,Aerospace and Defense,,FL
"Thor Industries, Inc.",697,3084.7,Motor Vehicles and Parts,,IN
Exide Technologies,698,3084.7,Motor Vehicles and Parts,,GA
"Rent-A-Center, Inc.",699,3082.6,Specialty Retailers: Other,,TX
"Chiquita Brands International, Inc.",700,3078.3,Food Production,,NC
KLA-Tencor Corporation,681,3171.9,Semiconductors and Other Electronic Components,,CA
Regal Beloit Corporation,682,3166.9,"Electronics, Electrical Equip.",,WI
W.R. Grace &amp; Co.,683,3155.5,Chemicals,,MD
"Helmerich &amp; Payne, Inc.",684,3151.8,"Oil and Gas Equipment, Services",,OK
Saks Incorporated,685,3147.6,General Merchandisers,,NY
"Leap Wireless International, Inc.",686,3142.3,Telecommunications,,CA
Fastenal Company,687,3133.6,Specialty Retailers: Other,,MN
"Hub Group, Inc.",688,3124.1,Transportation and Logistics,,IL
EchoStar Corporation,689,3121.7,Network and Other Communications Equipment,,CO
"The NASDAQ OMX Group, Inc.",690,3119,Securities,,NY
"Puget Energy, Inc.",673,3215.2,Utilities: Gas and Electric,,WA
Polaris Industries Inc.,674,3209.8,Transportation Equipment,,MN
"Magellan Health Services, Inc.",675,3207.4,Health Care: Insurance and Managed Care,,CT
"Apollo Global Management, LLC",676,3196.4,Securities,,NY
Cytec Industries Inc.,677,3195.5,Chemicals,,NJ
The ServiceMaster Company,678,3193.3,Diversified Outsourcing Services,,TN
"NVR, Inc.",679,3193.2,Homebuilders,,VA
Perrigo Company,680,3173.2,Pharmaceuticals,,MI
USG Corporation,663,3330,"Building Materials, Glass",,IL
Axiall Corporation,664,3325.8,Chemicals,,GA
"H&amp;R Block, Inc.",665,3310.9,Diversified Financials,,MO
"HSN, Inc.",666,3306.9,Specialty Retailers: Other,,FL
Pioneer Natural Resources Company,667,3306.1,"Mining, Crude-Oil Production",,TX
Pinnacle West Capital Corporation,668,3301.8,Utilities: Gas and Electric,,AZ
Emergency Medical Services Corporation,669,3300.1,Health Care: Pharmacy and Other Services,,CO
The Babcock &amp; Wilcox Company,670,3291.4,Industrial Machinery,,NC
ADT Corporation,671,3228,Diversified Outsourcing Services,,FL
"WPX Energy, Inc.",672,3217,"Mining, Crude-Oil Production",,OK
Lennox International Inc.,658,3358,Industrial Machinery,,TX
"Ascena Retail Group, Inc.",659,3353.3,Specialty Retailers: Apparel,,NY
Cabot Corporation,660,3346,Chemicals,,MA
"Schnitzer Steel Industries, Inc.",661,3340.9,Metals,,OR
"AMETEK, Inc.",662,3334.2,"Scientific,Photographic and Control Equipment",,PA
"Lithia Motors, Inc.",653,3398.6,"Automotive Retailing, Services",,OR
COUNTRY Financial,654,3395.8,Insurance: Property and Casualty (Mutual),,IL
Alliant Energy Corporation,655,3383.7,Utilities: Gas and Electric,,WI
"Hawaiian Electric Industries, Inc.",656,3375,Utilities: Gas and Electric,,HI
"First Solar, Inc.",657,3368.5,Energy,,AZ
"American Eagle Outfitters, Inc.",642,3495.9,Specialty Retailers: Apparel,,PA
Swift Transportation Company,643,3493.2,"Trucking, Truck Leasing",,AZ
Molex Incorporated,644,3489.2,Network and Other Communications Equipment,,IL
"Green Plains Renewable Energy, Inc.",645,3476.9,Energy,,NE
PHH Corporation,646,3457,"Automotive Retailing, Services",,NJ
"American Tire Distributors Holdings, Inc.",647,3455.9,Wholesalers: Diversified,,NC
"Watsco, Inc.",648,3431.7,Wholesalers: Diversified,,FL
Towers Watson &amp; Co.,649,3417.7,Diversified Outsourcing Services,,NY
"Triumph Group, Inc.",650,3408.2,Aerospace and Defense,,PA
"Adams Resources &amp; Energy, Inc.",651,3406.7,Energy,,TX
Sirius XM Radio Inc.,652,3402,Entertainment,,NY
Systemax Inc.,635,3544.6,Specialty Retailers: Other,,NY
"Patterson Companies, Inc.",636,3535.7,Wholesalers: Health Care,,MN
"SkyWest, Inc.",637,3534.4,Airlines,,UT
"Sally Beauty Holdings, Inc.",638,3523.6,Specialty Retailers: Other,,TX
"Securian Financial Group, Inc.",639,3521.1,"Insurance: Life, Health (stock)",,MN
"Rockwood Holdings, Inc.",640,3506.9,Chemicals,,NJ
United Refining Company,641,3505.3,Petroleum Refining,,PA
Westlake Chemical Corporation,633,3571,Chemicals,,TX
Atmos Energy Corporation,634,3553.2,Utilities: Gas and Electric,,TX
CareFusion Corporation,622,3693,Medical Products and Equipment,,CA
Del Monte Corporation,623,3676.2,Food Consumer Products,,CA
OGE Energy Corp.,624,3671.2,Utilities: Gas and Electric,,OK
LPL Financial Holdings Inc.,625,3661.1,Securities,,MA
Alliance Data Systems Corporation,626,3641.4,Financial Data Services,,TX
Carlisle Companies Incorporated,627,3629.4,"Building Materials, Glass",,NC
Protective Life Corporation,628,3623,"Insurance: Life, Health (stock)",,AL
"Netflix, Inc.",629,3609.3,Specialty Retailers: Other,,CA
"Fortune Brands Home &amp; Security, Inc.",630,3591.1,"Home Equipment, Furnishings",,IL
Torchmark Corporation,631,3589.5,"Insurance: Life, Health (stock)",,TX
Silgan Holdings Inc.,632,3588.3,"Packaging, Containers",,CT
Xylem Inc.,612,3791,Industrial Machinery,,NY
RPM International Inc.,613,3777.4,Chemicals,,OH
CACI International Inc.,614,3774.5,Information Technology Services,,VA
Brunswick Corporation,615,3773.8,Transportation Equipment,,IL
NYSE Euronext,616,3749,Securities,,NY
FMC Corporation,617,3748.3,Chemicals,,PA
"Team Health Holdings, Inc.",618,3738.7,Health Care: Pharmacy and Other Services,,TN
"Leggett &amp; Platt, Incorporated",619,3720.8,"Home Equipment, Furnishings",,MO
"Ingles Markets, Incorporated",620,3709.4,Food and Drug Stores,,NC
Unisys Corporation,621,3706.4,Information Technology Services,,PA
"Jefferies Group, Inc.",604,3871.2,Securities,,NY
Green Mountain Coffee Roasters,605,3859.2,Beverages,,VT
"MasTec, Inc.",606,3805.8,"Engineering, Construction",,FL
Life Technologies Corporation,607,3798.5,"Scientific,Photographic and Control Equipment",,CA
The Jones Group Inc.,608,3798.1,Apparel,,NY
"Lexmark International, Inc.",609,3797.6,Computer Peripherals,,KY
"Unified Grocers, Inc.",610,3796.3,Wholesalers: Food and Grocery,,CA
Tiffany &amp; Co.,611,3794.2,Specialty Retailers: Other,,NY
"Trinity Industries, Inc.",595,3933.3,Transportation Equipment,,TX
Jones Lang LaSalle Incorporated,596,3932.8,Real estate,,IL
AGL Resources Inc.,597,3922,Utilities: Gas and Electric,,GA
Molson Coors Brewing Company,598,3916.5,Beverages,,CO
Colfax Corporation,599,3913.9,Industrial Machinery,,MD
Mead Johnson Nutrition Company,600,3901.3,Food Consumer Products,,IL
"Raymond James Financial, Inc.",601,3897.9,Securities,,FL
"Roundy's, Inc.",602,3890.5,Food and Drug Stores,,WI
Stater Bros. Holdings Inc.,603,3873.2,Food and Drug Stores,,CA
The Valspar Corporation,584,4020.9,Chemicals,,MN
The Blackstone Group L.P.,585,4019.4,Diversified Financials,,NY
"LifePoint Hospitals, Inc.",586,4016.2,Health Care: Medical Facilities,,TN
