0,1,2,3,4,5,6
"{'key': 'rank', 'value': '314'}","{'key': 'fullName', 'value': 'Masco Corporation'}","{'key': 'revenues', 'value': '7592.00'}","{'key': 'industry', 'value': 'Home Equipment, Furnishings'}","{'key': 'hqCity', 'value': 'Taylor'}","{'key': 'hqState', 'value': 'MI'}","{'fieldMeta': {'title': 'Company', 'type': 'Text', 'importField': 'title', 'order': 'desc'}, 'key': 'title', 'value': 'Masco Corporation'}"
"{'key': 'rank', 'value': '315'}","{'key': 'fullName', 'value': 'Hertz Global Holdings, Inc.'}","{'key': 'revenues', 'value': '7562.50'}","{'key': 'industry', 'value': 'Automotive Retailing, Services'}","{'key': 'hqCity', 'value': 'Park Ridge'}","{'key': 'hqState', 'value': 'NJ'}","{'fieldMeta': {'title': 'Company', 'type': 'Text', 'importField': 'title', 'order': 'desc'}, 'key': 'title', 'value': 'Hertz Global Holdings, Inc.'}"
"{'key': 'rank', 'value': '313'}","{'key': 'fullName', 'value': 'Ameren Corporation'}","{'key': 'revenues', 'value': '7638.00'}","{'key': 'industry', 'value': 'Utilities: Gas and Electric'}","{'key': 'hqCity', 'value': 'St. Louis'}","{'key': 'hqState', 'value': 'MO'}","{'fieldMeta': {'title': 'Company', 'type': 'Text', 'importField': 'title', 'order': 'desc'}, 'key': 'title', 'value': 'Ameren Corporation'}"
"{'key': 'rank', 'value': '311'}","{'key': 'fullName', 'value': 'CarMax, Inc.'}","{'key': 'revenues', 'value': '7690.30'}","{'key': 'industry', 'value': 'Automotive Retailing, Services'}","{'key': 'hqCity', 'value': 'Richmond'}","{'key': 'hqState', 'value': 'VA'}","{'fieldMeta': {'title': 'Company', 'type': 'Text', 'importField': 'title', 'order': 'desc'}, 'key': 'title', 'value': 'CarMax, Inc.'}"
"{'key': 'rank', 'value': '312'}","{'key': 'fullName', 'value': 'Campbell Soup Company'}","{'key': 'revenues', 'value': '7676.00'}","{'key': 'industry', 'value': 'Food Consumer Products'}","{'key': 'hqCity', 'value': 'Camden'}","{'key': 'hqState', 'value': 'NJ'}","{'fieldMeta': {'title': 'Company', 'type': 'Text', 'importField': 'title', 'order': 'desc'}, 'key': 'title', 'value': 'Campbell Soup Company'}"
"{'key': 'rank', 'value': '310'}","{'key': 'fullName', 'value': 'V.F. Corporation'}","{'key': 'revenues', 'value': '7702.60'}","{'key': 'industry', 'value': 'Apparel'}","{'key': 'hqCity', 'value': 'Greensboro'}","{'key': 'hqState', 'value': 'NC'}","{'fieldMeta': {'title': 'Company', 'type': 'Text', 'importField': 'title', 'order': 'desc'}, 'key': 'title', 'value': 'V.F. Corporation'}"
"{'key': 'rank', 'value': '330'}","{'key': 'fullName', 'value': 'OfficeMax Incorporated'}","{'key': 'revenues', 'value': '7150.00'}","{'key': 'industry', 'value': 'Specialty Retailers: Other'}","{'key': 'hqCity', 'value': 'Naperville'}","{'key': 'hqState', 'value': 'IL'}","{'fieldMeta': {'title': 'Company', 'type': 'Text', 'importField': 'title', 'order': 'desc'}, 'key': 'title', 'value': 'OfficeMax Incorporated'}"
"{'key': 'rank', 'value': '319'}","{'key': 'fullName', 'value': 'Visteon Corporation'}","{'key': 'revenues', 'value': '7466.00'}","{'key': 'industry', 'value': 'Motor Vehicles and Parts'}","{'key': 'hqCity', 'value': 'Van Buren Township'}","{'key': 'hqState', 'value': 'MI'}","{'fieldMeta': {'title': 'Company', 'type': 'Text', 'importField': 'title', 'order': 'desc'}, 'key': 'title', 'value': 'Visteon Corporation'}"
"{'key': 'rank', 'value': '329'}","{'key': 'fullName', 'value': 'Autoliv, Inc.'}","{'key': 'revenues', 'value': '7170.60'}","{'key': 'industry', 'value': 'Motor Vehicles and Parts'}","{'key': 'hqCity', 'value': 'Auburn Hills'}","{'key': 'hqState', 'value': 'MI'}","{'fieldMeta': {'title': 'Company', 'type': 'Text', 'importField': 'title', 'order': 'desc'}, 'key': 'title', 'value': 'Autoliv, Inc.'}"
"{'key': 'rank', 'value': '318'}","{'key': 'fullName', 'value': 'Thrivent Financial for Lutherans'}","{'key': 'revenues', 'value': '7470.50'}","{'key': 'industry', 'value': 'Insurance: Life, Health (Mutual)'}","{'key': 'hqCity', 'value': 'Minneapolis'}","{'key': 'hqState', 'value': 'MN'}","{'fieldMeta': {'title': 'Company', 'type': 'Text', 'importField': 'title', 'order': 'desc'}, 'key': 'title', 'value': 'Thrivent Financial for Lutherans'}"
"{'key': 'rank', 'value': '328'}","{'key': 'fullName', 'value': 'W.W. Grainger, Inc.'}","{'key': 'revenues', 'value': '7182.20'}","{'key': 'industry', 'value': 'Wholesalers: Diversified'}","{'key': 'hqCity', 'value': 'Lake Forest'}","{'key': 'hqState', 'value': 'IL'}","{'fieldMeta': {'title': 'Company', 'type': 'Text', 'importField': 'title', 'order': 'desc'}, 'key': 'title', 'value': 'W.W. Grainger, Inc.'}"
"{'key': 'rank', 'value': '327'}","{'key': 'fullName', 'value': 'Eastman Kodak Company'}","{'key': 'revenues', 'value': '7187.00'}","{'key': 'industry', 'value': 'Scientific,Photographic and Control Equipment'}","{'key': 'hqCity', 'value': 'Rochester'}","{'key': 'hqState', 'value': 'NY'}","{'fieldMeta': {'title': 'Company', 'type': 'Text', 'importField': 'title', 'order': 'desc'}, 'key': 'title', 'value': 'Eastman Kodak Company'}"
"{'key': 'rank', 'value': '325'}","{'key': 'fullName', 'value': 'Hormel Foods Corporation'}","{'key': 'revenues', 'value': '7220.70'}","{'key': 'industry', 'value': 'Food Consumer Products'}","{'key': 'hqCity', 'value': 'Austin'}","{'key': 'hqState', 'value': 'MN'}","{'fieldMeta': {'title': 'Company', 'type': 'Text', 'importField': 'title', 'order': 'desc'}, 'key': 'title', 'value': 'Hormel Foods Corporation'}"
"{'key': 'rank', 'value': '326'}","{'key': 'fullName', 'value': 'Fifth Third Bancorp'}","{'key': 'revenues', 'value': '7218.00'}","{'key': 'industry', 'value': 'Commercial Banks'}","{'key': 'hqCity', 'value': 'Cincinnati'}","{'key': 'hqState', 'value': 'OH'}","{'fieldMeta': {'title': 'Company', 'type': 'Text', 'importField': 'title', 'order': 'desc'}, 'key': 'title', 'value': 'Fifth Third Bancorp'}"
"{'key': 'rank', 'value': '324'}","{'key': 'fullName', 'value': 'Winn-Dixie Stores, Inc.'}","{'key': 'revenues', 'value': '7247.80'}","{'key': 'industry', 'value': 'Food and Drug Stores'}","{'key': 'hqCity', 'value': 'Jacksonville'}","{'key': 'hqState', 'value': 'FL'}","{'fieldMeta': {'title': 'Company', 'type': 'Text', 'importField': 'title', 'order': 'desc'}, 'key': 'title', 'value': 'Winn-Dixie Stores, Inc.'}"
"{'key': 'rank', 'value': '322'}","{'key': 'fullName', 'value': 'AutoZone, Inc.'}","{'key': 'revenues', 'value': '7362.60'}","{'key': 'industry', 'value': 'Specialty Retailers: Other'}","{'key': 'hqCity', 'value': 'Memphis'}","{'key': 'hqState', 'value': 'TN'}","{'fieldMeta': {'title': 'Company', 'type': 'Text', 'importField': 'title', 'order': 'desc'}, 'key': 'title', 'value': 'AutoZone, Inc.'}"
"{'key': 'rank', 'value': '323'}","{'key': 'fullName', 'value': 'Stryker Corporation'}","{'key': 'revenues', 'value': '7320.00'}","{'key': 'industry', 'value': 'Medical Products and Equipment'}","{'key': 'hqCity', 'value': 'Kalamazoo'}","{'key': 'hqState', 'value': 'MI'}","{'fieldMeta': {'title': 'Company', 'type': 'Text', 'importField': 'title', 'order': 'desc'}, 'key': 'title', 'value': 'Stryker Corporation'}"
"{'key': 'rank', 'value': '321'}","{'key': 'fullName', 'value': 'Cablevision Systems Corporation'}","{'key': 'revenues', 'value': '7362.90'}","{'key': 'industry', 'value': 'Telecommunications'}","{'key': 'hqCity', 'value': 'Bethpage'}","{'key': 'hqState', 'value': 'NY'}","{'fieldMeta': {'title': 'Company', 'type': 'Text', 'importField': 'title', 'order': 'desc'}, 'key': 'title', 'value': 'Cablevision Systems Corporation'}"
"{'key': 'rank', 'value': '332'}","{'key': 'fullName', 'value': 'Darden Restaurants, Inc.'}","{'key': 'revenues', 'value': '7113.10'}","{'key': 'industry', 'value': 'Food Services'}","{'key': 'hqCity', 'value': 'Orlando'}","{'key': 'hqState', 'value': 'FL'}","{'fieldMeta': {'title': 'Company', 'type': 'Text', 'importField': 'title', 'order': 'desc'}, 'key': 'title', 'value': 'Darden Restaurants, Inc.'}"
"{'key': 'rank', 'value': '331'}","{'key': 'fullName', 'value': 'Dover Corporation'}","{'key': 'revenues', 'value': '7142.00'}","{'key': 'industry', 'value': 'Industrial Machinery'}","{'key': 'hqCity', 'value': 'Downers Grove'}","{'key': 'hqState', 'value': 'IL'}","{'fieldMeta': {'title': 'Company', 'type': 'Text', 'importField': 'title', 'order': 'desc'}, 'key': 'title', 'value': 'Dover Corporation'}"
"{'key': 'rank', 'value': '320'}","{'key': 'fullName', 'value': 'Quest Diagnostics Incorporated'}","{'key': 'revenues', 'value': '7368.90'}","{'key': 'industry', 'value': 'Health Care: Pharmacy and Other Services'}","{'key': 'hqCity', 'value': 'Madison'}","{'key': 'hqState', 'value': 'NJ'}","{'fieldMeta': {'title': 'Company', 'type': 'Text', 'importField': 'title', 'order': 'desc'}, 'key': 'title', 'value': 'Quest Diagnostics Incorporated'}"
"{'key': 'rank', 'value': '344'}","{'key': 'fullName', 'value': 'SLM Corporation'}","{'key': 'revenues', 'value': '6776.30'}","{'key': 'industry', 'value': 'Diversified Financials'}","{'key': 'hqCity', 'value': 'Newark'}","{'key': 'hqState', 'value': 'DE'}","{'fieldMeta': {'title': 'Company', 'type': 'Text', 'importField': 'title', 'order': 'desc'}, 'key': 'title', 'value': 'SLM Corporation'}"
"{'key': 'rank', 'value': '342'}","{'key': 'fullName', 'value': 'Las Vegas Sands Corp.'}","{'key': 'revenues', 'value': '6853.20'}","{'key': 'industry', 'value': 'Hotels, Casinos, Resorts'}","{'key': 'hqCity', 'value': 'Las Vegas'}","{'key': 'hqState', 'value': 'NV'}","{'fieldMeta': {'title': 'Company', 'type': 'Text', 'importField': 'title', 'order': 'desc'}, 'key': 'title', 'value': 'Las Vegas Sands Corp.'}"
"{'key': 'rank', 'value': '343'}","{'key': 'fullName', 'value': 'Broadcom Corporation'}","{'key': 'revenues', 'value': '6818.30'}","{'key': 'industry', 'value': 'Semiconductors and Other Electronic Components'}","{'key': 'hqCity', 'value': 'Irvine'}","{'key': 'hqState', 'value': 'CA'}","{'fieldMeta': {'title': 'Company', 'type': 'Text', 'importField': 'title', 'order': 'desc'}, 'key': 'title', 'value': 'Broadcom Corporation'}"
"{'key': 'rank', 'value': '340'}","{'key': 'fullName', 'value': 'AGCO Corporation'}","{'key': 'revenues', 'value': '6896.60'}","{'key': 'industry', 'value': 'Construction and Farm Machinery'}","{'key': 'hqCity', 'value': 'Duluth'}","{'key': 'hqState', 'value': 'GA'}","{'fieldMeta': {'title': 'Company', 'type': 'Text', 'importField': 'title', 'order': 'desc'}, 'key': 'title', 'value': 'AGCO Corporation'}"
"{'key': 'rank', 'value': '341'}","{'key': 'fullName', 'value': 'Dole Food Company, Inc.'}","{'key': 'revenues', 'value': '6894.00'}","{'key': 'industry', 'value': 'Food Consumer Products'}","{'key': 'hqCity', 'value': 'Westlake Village'}","{'key': 'hqState', 'value': 'CA'}","{'fieldMeta': {'title': 'Company', 'type': 'Text', 'importField': 'title', 'order': 'desc'}, 'key': 'title', 'value': 'Dole Food Company, Inc.'}"
"{'key': 'rank', 'value': '338'}","{'key': 'fullName', 'value': 'Peabody Energy Corporation'}","{'key': 'revenues', 'value': '6944.20'}","{'key': 'industry', 'value': 'Mining, Crude-Oil Production'}","{'key': 'hqCity', 'value': 'St. Louis'}","{'key': 'hqState', 'value': 'MO'}","{'fieldMeta': {'title': 'Company', 'type': 'Text', 'importField': 'title', 'order': 'desc'}, 'key': 'title', 'value': 'Peabody Energy Corporation'}"
"{'key': 'rank', 'value': '339'}","{'key': 'fullName', 'value': 'Sonic Automotive, Inc.'}","{'key': 'revenues', 'value': '6935.90'}","{'key': 'industry', 'value': 'Automotive Retailing, Services'}","{'key': 'hqCity', 'value': 'Charlotte'}","{'key': 'hqState', 'value': 'NC'}","{'fieldMeta': {'title': 'Company', 'type': 'Text', 'importField': 'title', 'order': 'desc'}, 'key': 'title', 'value': 'Sonic Automotive, Inc.'}"
"{'key': 'rank', 'value': '337'}","{'key': 'fullName', 'value': 'Goodrich Corporation'}","{'key': 'revenues', 'value': '6966.90'}","{'key': 'industry', 'value': 'Aerospace and Defense'}","{'key': 'hqCity', 'value': 'Charlotte'}","{'key': 'hqState', 'value': 'NC'}","{'fieldMeta': {'title': 'Company', 'type': 'Text', 'importField': 'title', 'order': 'desc'}, 'key': 'title', 'value': 'Goodrich Corporation'}"
"{'key': 'rank', 'value': '333'}","{'key': 'fullName', 'value': 'Charter Communications, Inc.'}","{'key': 'revenues', 'value': '7059.00'}","{'key': 'industry', 'value': 'Telecommunications'}","{'key': 'hqCity', 'value': 'St. Louis'}","{'key': 'hqState', 'value': 'MO'}","{'fieldMeta': {'title': 'Company', 'type': 'Text', 'importField': 'title', 'order': 'desc'}, 'key': 'title', 'value': 'Charter Communications, Inc.'}"
"{'key': 'rank', 'value': '336'}","{'key': 'fullName', 'value': 'The Shaw Group Inc.'}","{'key': 'revenues', 'value': '7000.80'}","{'key': 'industry', 'value': 'Engineering, Construction'}","{'key': 'hqCity', 'value': 'Baton Rouge'}","{'key': 'hqState', 'value': 'LA'}","{'fieldMeta': {'title': 'Company', 'type': 'Text', 'importField': 'title', 'order': 'desc'}, 'key': 'title', 'value': 'The Shaw Group Inc.'}"
"{'key': 'rank', 'value': '335'}","{'key': 'fullName', 'value': 'Pepco Holdings, Inc.'}","{'key': 'revenues', 'value': '7039.00'}","{'key': 'industry', 'value': 'Utilities: Gas and Electric'}","{'key': 'hqCity', 'value': 'Washington'}","{'key': 'hqState', 'value': 'DC'}","{'fieldMeta': {'title': 'Company', 'type': 'Text', 'importField': 'title', 'order': 'desc'}, 'key': 'title', 'value': 'Pepco Holdings, Inc.'}"
"{'key': 'rank', 'value': '346'}","{'key': 'fullName', 'value': 'The Mosaic Company'}","{'key': 'revenues', 'value': '6759.10'}","{'key': 'industry', 'value': 'Chemicals'}","{'key': 'hqCity', 'value': 'Plymouth'}","{'key': 'hqState', 'value': 'MN'}","{'fieldMeta': {'title': 'Company', 'type': 'Text', 'importField': 'title', 'order': 'desc'}, 'key': 'title', 'value': 'The Mosaic Company'}"
"{'key': 'rank', 'value': '334'}","{'key': 'fullName', 'value': 'CenturyLink, Inc.'}","{'key': 'revenues', 'value': '7041.50'}","{'key': 'industry', 'value': 'Telecommunications'}","{'key': 'hqCity', 'value': 'Monroe'}","{'key': 'hqState', 'value': 'LA'}","{'fieldMeta': {'title': 'Company', 'type': 'Text', 'importField': 'title', 'order': 'desc'}, 'key': 'title', 'value': 'CenturyLink, Inc.'}"
"{'key': 'rank', 'value': '345'}","{'key': 'fullName', 'value': 'Owens-Illinois, Inc.'}","{'key': 'revenues', 'value': '6762.00'}","{'key': 'industry', 'value': 'Packaging, Containers'}","{'key': 'hqCity', 'value': 'Perrysburg'}","{'key': 'hqState', 'value': 'OH'}","{'fieldMeta': {'title': 'Company', 'type': 'Text', 'importField': 'title', 'order': 'desc'}, 'key': 'title', 'value': 'Owens-Illinois, Inc.'}"
"{'key': 'rank', 'value': '354'}","{'key': 'fullName', 'value': 'Weyerhaeuser Company'}","{'key': 'revenues', 'value': '6552.00'}","{'key': 'industry', 'value': 'Forest and Paper Products'}","{'key': 'hqCity', 'value': 'Federal Way'}","{'key': 'hqState', 'value': 'WA'}","{'fieldMeta': {'title': 'Company', 'type': 'Text', 'importField': 'title', 'order': 'desc'}, 'key': 'title', 'value': 'Weyerhaeuser Company'}"
"{'key': 'rank', 'value': '352'}","{'key': 'fullName', 'value': 'Fortune Brands, Inc.'}","{'key': 'revenues', 'value': '6570.50'}","{'key': 'industry', 'value': 'Home Equipment, Furnishings'}","{'key': 'hqCity', 'value': 'Deerfield'}","{'key': 'hqState', 'value': 'IL'}","{'fieldMeta': {'title': 'Company', 'type': 'Text', 'importField': 'title', 'order': 'desc'}, 'key': 'title', 'value': 'Fortune Brands, Inc.'}"
"{'key': 'rank', 'value': '353'}","{'key': 'fullName', 'value': 'AECOM Technology Corporation'}","{'key': 'revenues', 'value': '6559.40'}","{'key': 'industry', 'value': 'Engineering, Construction'}","{'key': 'hqCity', 'value': 'Los Angeles'}","{'key': 'hqState', 'value': 'CA'}","{'fieldMeta': {'title': 'Company', 'type': 'Text', 'importField': 'title', 'order': 'desc'}, 'key': 'title', 'value': 'AECOM Technology Corporation'}"
"{'key': 'rank', 'value': '350'}","{'key': 'fullName', 'value': 'Corning Incorporated'}","{'key': 'revenues', 'value': '6632.00'}","{'key': 'industry', 'value': 'Network and Other Communications Equipment'}","{'key': 'hqCity', 'value': 'Corning'}","{'key': 'hqState', 'value': 'NY'}","{'fieldMeta': {'title': 'Company', 'type': 'Text', 'importField': 'title', 'order': 'desc'}, 'key': 'title', 'value': 'Corning Incorporated'}"
"{'key': 'rank', 'value': '351'}","{'key': 'fullName', 'value': 'Energy Transfer Equity, L.P.'}","{'key': 'revenues', 'value': '6598.10'}","{'key': 'industry', 'value': 'Pipelines'}","{'key': 'hqCity', 'value': 'Dallas'}","{'key': 'hqState', 'value': 'TX'}","{'fieldMeta': {'title': 'Company', 'type': 'Text', 'importField': 'title', 'order': 'desc'}, 'key': 'title', 'value': 'Energy Transfer Equity, L.P.'}"
"{'key': 'rank', 'value': '348'}","{'key': 'fullName', 'value': 'Eastman Chemical Company'}","{'key': 'revenues', 'value': '6691.00'}","{'key': 'industry', 'value': 'Chemicals'}","{'key': 'hqCity', 'value': 'Kingsport'}","{'key': 'hqState', 'value': 'TN'}","{'fieldMeta': {'title': 'Company', 'type': 'Text', 'importField': 'title', 'order': 'desc'}, 'key': 'title', 'value': 'Eastman Chemical Company'}"
"{'key': 'rank', 'value': '349'}","{'key': 'fullName', 'value': 'Calpine Corporation'}","{'key': 'revenues', 'value': '6637.00'}","{'key': 'industry', 'value': 'Energy'}","{'key': 'hqCity', 'value': 'Houston'}","{'key': 'hqState', 'value': 'TX'}","{'fieldMeta': {'title': 'Company', 'type': 'Text', 'importField': 'title', 'order': 'desc'}, 'key': 'title', 'value': 'Calpine Corporation'}"
"{'key': 'rank', 'value': '347'}","{'key': 'fullName', 'value': 'Coca-Cola Enterprises, Inc.'}","{'key': 'revenues', 'value': '6714.00'}","{'key': 'industry', 'value': 'Beverages'}","{'key': 'hqCity', 'value': 'Atlanta'}","{'key': 'hqState', 'value': 'GA'}","{'fieldMeta': {'title': 'Company', 'type': 'Text', 'importField': 'title', 'order': 'desc'}, 'key': 'title', 'value': 'Coca-Cola Enterprises, Inc.'}"
"{'key': 'rank', 'value': '355'}","{'key': 'fullName', 'value': 'The Interpublic Group of Companies, Inc.'}","{'key': 'revenues', 'value': '6531.90'}","{'key': 'industry', 'value': 'Advertising, marketing'}","{'key': 'hqCity', 'value': 'New York'}","{'key': 'hqState', 'value': 'NY'}","{'fieldMeta': {'title': 'Company', 'type': 'Text', 'importField': 'title', 'order': 'desc'}, 'key': 'title', 'value': 'The Interpublic Group of Companies, Inc.'}"
"{'key': 'rank', 'value': '365'}","{'key': 'fullName', 'value': 'Yahoo! Inc.'}","{'key': 'revenues', 'value': '6324.70'}","{'key': 'industry', 'value': 'Internet Services and Retailing'}","{'key': 'hqCity', 'value': 'Sunnyvale'}","{'key': 'hqState', 'value': 'CA'}","{'fieldMeta': {'title': 'Company', 'type': 'Text', 'importField': 'title', 'order': 'desc'}, 'key': 'title', 'value': 'Yahoo! Inc.'}"
"{'key': 'rank', 'value': '363'}","{'key': 'fullName', 'value': 'The Pantry, Inc.'}","{'key': 'revenues', 'value': '6367.80'}","{'key': 'industry', 'value': 'Specialty Retailers: Other'}","{'key': 'hqCity', 'value': 'Cary'}","{'key': 'hqState', 'value': 'NC'}","{'fieldMeta': {'title': 'Company', 'type': 'Text', 'importField': 'title', 'order': 'desc'}, 'key': 'title', 'value': 'The Pantry, Inc.'}"
"{'key': 'rank', 'value': '364'}","{'key': 'fullName', 'value': 'CIT Group, Inc.'}","{'key': 'revenues', 'value': '6362.50'}","{'key': 'industry', 'value': 'Commercial Banks'}","{'key': 'hqCity', 'value': 'New York'}","{'key': 'hqState', 'value': 'NY'}","{'fieldMeta': {'title': 'Company', 'type': 'Text', 'importField': 'title', 'order': 'desc'}, 'key': 'title', 'value': 'CIT Group, Inc.'}"
"{'key': 'rank', 'value': '362'}","{'key': 'fullName', 'value': 'NiSource Inc.'}","{'key': 'revenues', 'value': '6422.70'}","{'key': 'industry', 'value': 'Utilities: Gas and Electric'}","{'key': 'hqCity', 'value': 'Merrillville'}","{'key': 'hqState', 'value': 'IN'}","{'fieldMeta': {'title': 'Company', 'type': 'Text', 'importField': 'title', 'order': 'desc'}, 'key': 'title', 'value': 'NiSource Inc.'}"
"{'key': 'rank', 'value': '360'}","{'key': 'fullName', 'value': 'CMS Energy Corporation'}","{'key': 'revenues', 'value': '6442.00'}","{'key': 'industry', 'value': 'Utilities: Gas and Electric'}","{'key': 'hqCity', 'value': 'Jackson'}","{'key': 'hqState', 'value': 'MI'}","{'fieldMeta': {'title': 'Company', 'type': 'Text', 'importField': 'title', 'order': 'desc'}, 'key': 'title', 'value': 'CMS Energy Corporation'}"
"{'key': 'rank', 'value': '361'}","{'key': 'fullName', 'value': 'Commercial Metals Company'}","{'key': 'revenues', 'value': '6429.10'}","{'key': 'industry', 'value': 'Metals'}","{'key': 'hqCity', 'value': 'Irving'}","{'key': 'hqState', 'value': 'TX'}","{'fieldMeta': {'title': 'Company', 'type': 'Text', 'importField': 'title', 'order': 'desc'}, 'key': 'title', 'value': 'Commercial Metals Company'}"
"{'key': 'rank', 'value': '359'}","{'key': 'fullName', 'value': 'DaVita Inc.'}","{'key': 'revenues', 'value': '6447.40'}","{'key': 'industry', 'value': 'Health Care: Medical Facilities'}","{'key': 'hqCity', 'value': 'Denver'}","{'key': 'hqState', 'value': 'CO'}","{'fieldMeta': {'title': 'Company', 'type': 'Text', 'importField': 'title', 'order': 'desc'}, 'key': 'title', 'value': 'DaVita Inc.'}"
"{'key': 'rank', 'value': '358'}","{'key': 'fullName', 'value': 'American Family Ins. Group'}","{'key': 'revenues', 'value': '6491.80'}","{'key': 'industry', 'value': 'Insurance: Property and Casualty (Stock)'}","{'key': 'hqCity', 'value': 'Madison'}","{'key': 'hqState', 'value': 'WI'}","{'fieldMeta': {'title': 'Company', 'type': 'Text', 'importField': 'title', 'order': 'desc'}, 'key': 'title', 'value': 'American Family Ins. Group'}"
"{'key': 'rank', 'value': '368'}","{'key': 'fullName', 'value': 'Steel Dynamics, Inc.'}","{'key': 'revenues', 'value': '6300.90'}","{'key': 'industry', 'value': 'Metals'}","{'key': 'hqCity', 'value': 'Fort Wayne'}","{'key': 'hqState', 'value': 'IN'}","{'fieldMeta': {'title': 'Company', 'type': 'Text', 'importField': 'title', 'order': 'desc'}, 'key': 'title', 'value': 'Steel Dynamics, Inc.'}"
