0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25
"{'key': 'rank', 'value': '293'}","{'key': 'revenues', 'value': '9737'}","{'key': 'revchange', 'value': '-1.1'}","{'key': 'profits', 'value': '473'}","{'key': 'prftchange', 'value': '-4.1'}","{'key': 'assets', 'value': '8135'}","{'key': 'employees', 'value': '56500'}","{'key': 'mktval', 'value': '11757'}","{'key': 'sector', 'value': 'Retailing'}","{'key': 'industry', 'value': 'Specialty Retailers: Other'}","{'key': 'hqcity', 'value': 'Roanoke'}","{'key': 'hqstate', 'value': 'VA'}","{'key': 'rankgain', 'value': 'yes'}","{'key': 'rankdrop', 'value': 'no'}","{'key': 'newcomer', 'value': 'no'}","{'key': 'profitable', 'value': 'yes'}","{'key': 'ceofounder', 'value': 'no'}","{'key': 'ceoforeign', 'value': 'yes'}","{'key': 'ceowoman', 'value': 'no'}","{'key': 'jobgrowth', 'value': 'no'}","{'key': 'global500-y-n', 'value': 'no'}","{'key': 'best-companies-y-n', 'value': 'no'}","{'key': 'worlds-most-admired-companies-y-n', 'value': 'no'}","{'key': 'change-the-world-y-n', 'value': 'no'}","{'key': '100-fastest-growing-companies-y-n', 'value': 'no'}","{'fieldMeta': {'title': 'Company', 'type': 'Text', 'importField': 'title', 'order': 'desc'}, 'key': 'title', 'value': 'Advance Auto Parts'}"
"{'key': 'rank', 'value': '292'}","{'key': 'revenues', 'value': '9754'}","{'key': 'revchange', 'value': '7.1'}","{'key': 'profits', 'value': '-271'}","{'key': 'prftchange', 'value': ''}","{'key': 'assets', 'value': '39316'}","{'key': 'employees', 'value': '23800'}","{'key': 'mktval', 'value': '22761'}","{'key': 'sector', 'value': 'Telecommunications'}","{'key': 'industry', 'value': 'Telecommunications'}","{'key': 'hqcity', 'value': 'Stamford'}","{'key': 'hqstate', 'value': 'CT'}","{'key': 'rankgain', 'value': 'yes'}","{'key': 'rankdrop', 'value': 'no'}","{'key': 'newcomer', 'value': 'no'}","{'key': 'profitable', 'value': 'no'}","{'key': 'ceofounder', 'value': 'no'}","{'key': 'ceoforeign', 'value': 'no'}","{'key': 'ceowoman', 'value': 'no'}","{'key': 'jobgrowth', 'value': 'yes'}","{'key': 'global500-y-n', 'value': 'no'}","{'key': 'best-companies-y-n', 'value': 'no'}","{'key': 'worlds-most-admired-companies-y-n', 'value': 'no'}","{'key': 'change-the-world-y-n', 'value': 'no'}","{'key': '100-fastest-growing-companies-y-n', 'value': 'no'}","{'fieldMeta': {'title': 'Company', 'type': 'Text', 'importField': 'title', 'order': 'desc'}, 'key': 'title', 'value': 'Charter Communications'}"
"{'key': 'rank', 'value': '291'}","{'key': 'revenues', 'value': '9773'}","{'key': 'revchange', 'value': '3.5'}","{'key': 'profits', 'value': '103'}","{'key': 'prftchange', 'value': '55.5'}","{'key': 'assets', 'value': '2778'}","{'key': 'employees', 'value': '8100'}","{'key': 'mktval', 'value': '2540'}","{'key': 'sector', 'value': 'Health Care'}","{'key': 'industry', 'value': 'Wholesalers: Health Care'}","{'key': 'hqcity', 'value': 'Mechanicsville'}","{'key': 'hqstate', 'value': 'VA'}","{'key': 'rankgain', 'value': 'yes'}","{'key': 'rankdrop', 'value': 'no'}","{'key': 'newcomer', 'value': 'no'}","{'key': 'profitable', 'value': 'yes'}","{'key': 'ceofounder', 'value': 'no'}","{'key': 'ceoforeign', 'value': 'no'}","{'key': 'ceowoman', 'value': 'no'}","{'key': 'jobgrowth', 'value': 'yes'}","{'key': 'global500-y-n', 'value': 'no'}","{'key': 'best-companies-y-n', 'value': 'no'}","{'key': 'worlds-most-admired-companies-y-n', 'value': 'no'}","{'key': 'change-the-world-y-n', 'value': 'no'}","{'key': '100-fastest-growing-companies-y-n', 'value': 'no'}","{'fieldMeta': {'title': 'Company', 'type': 'Text', 'importField': 'title', 'order': 'desc'}, 'key': 'title', 'value': 'Owens &amp; Minor'}"
"{'key': 'rank', 'value': '290'}","{'key': 'revenues', 'value': '9785'}","{'key': 'revchange', 'value': '11.6'}","{'key': 'profits', 'value': '681'}","{'key': 'prftchange', 'value': '24.8'}","{'key': 'assets', 'value': '9634'}","{'key': 'employees', 'value': '64500'}","{'key': 'mktval', 'value': '12181'}","{'key': 'sector', 'value': 'Health Care'}","{'key': 'industry', 'value': 'Health Care: Medical Facilities'}","{'key': 'hqcity', 'value': 'King of Prussia'}","{'key': 'hqstate', 'value': 'PA'}","{'key': 'rankgain', 'value': 'yes'}","{'key': 'rankdrop', 'value': 'no'}","{'key': 'newcomer', 'value': 'no'}","{'key': 'profitable', 'value': 'yes'}","{'key': 'ceofounder', 'value': 'yes'}","{'key': 'ceoforeign', 'value': 'no'}","{'key': 'ceowoman', 'value': 'no'}","{'key': 'jobgrowth', 'value': 'yes'}","{'key': 'global500-y-n', 'value': 'no'}","{'key': 'best-companies-y-n', 'value': 'no'}","{'key': 'worlds-most-admired-companies-y-n', 'value': 'yes'}","{'key': 'change-the-world-y-n', 'value': 'no'}","{'key': '100-fastest-growing-companies-y-n', 'value': 'no'}","{'fieldMeta': {'title': 'Company', 'type': 'Text', 'importField': 'title', 'order': 'desc'}, 'key': 'title', 'value': 'Universal Health Services'}"
"{'key': 'rank', 'value': '289'}","{'key': 'revenues', 'value': '9787'}","{'key': 'revchange', 'value': '-35.4'}","{'key': 'profits', 'value': '407'}","{'key': 'prftchange', 'value': '-27.4'}","{'key': 'assets', 'value': '5833'}","{'key': 'employees', 'value': '7347'}","{'key': 'mktval', 'value': '2654'}","{'key': 'sector', 'value': 'Energy'}","{'key': 'industry', 'value': 'Petroleum Refining'}","{'key': 'hqcity', 'value': 'El Paso'}","{'key': 'hqstate', 'value': 'TX'}","{'key': 'rankgain', 'value': 'no'}","{'key': 'rankdrop', 'value': 'yes'}","{'key': 'newcomer', 'value': 'no'}","{'key': 'profitable', 'value': 'yes'}","{'key': 'ceofounder', 'value': 'no'}","{'key': 'ceoforeign', 'value': 'no'}","{'key': 'ceowoman', 'value': 'no'}","{'key': 'jobgrowth', 'value': 'yes'}","{'key': 'global500-y-n', 'value': 'no'}","{'key': 'best-companies-y-n', 'value': 'no'}","{'key': 'worlds-most-admired-companies-y-n', 'value': 'no'}","{'key': 'change-the-world-y-n', 'value': 'no'}","{'key': '100-fastest-growing-companies-y-n', 'value': 'no'}","{'fieldMeta': {'title': 'Company', 'type': 'Text', 'importField': 'title', 'order': 'desc'}, 'key': 'title', 'value': 'Western Refining'}"
"{'key': 'rank', 'value': '288'}","{'key': 'revenues', 'value': '9895'}","{'key': 'revchange', 'value': '-5.3'}","{'key': 'profits', 'value': '1278'}","{'key': 'prftchange', 'value': '28.9'}","{'key': 'assets', 'value': '17438'}","{'key': 'employees', 'value': '19550'}","{'key': 'mktval', 'value': '31064'}","{'key': 'sector', 'value': 'Chemicals'}","{'key': 'industry', 'value': 'Chemicals'}","{'key': 'hqcity', 'value': 'Allentown'}","{'key': 'hqstate', 'value': 'PA'}","{'key': 'rankgain', 'value': 'no'}","{'key': 'rankdrop', 'value': 'yes'}","{'key': 'newcomer', 'value': 'no'}","{'key': 'profitable', 'value': 'yes'}","{'key': 'ceofounder', 'value': 'no'}","{'key': 'ceoforeign', 'value': 'yes'}","{'key': 'ceowoman', 'value': 'no'}","{'key': 'jobgrowth', 'value': 'no'}","{'key': 'global500-y-n', 'value': 'no'}","{'key': 'best-companies-y-n', 'value': 'no'}","{'key': 'worlds-most-admired-companies-y-n', 'value': 'no'}","{'key': 'change-the-world-y-n', 'value': 'no'}","{'key': '100-fastest-growing-companies-y-n', 'value': 'no'}","{'fieldMeta': {'title': 'Company', 'type': 'Text', 'importField': 'title', 'order': 'desc'}, 'key': 'title', 'value': 'Air Products &amp; Chemicals'}"
"{'key': 'rank', 'value': '287'}","{'key': 'revenues', 'value': '9946'}","{'key': 'revchange', 'value': '2.8'}","{'key': 'profits', 'value': '1439'}","{'key': 'prftchange', 'value': '179.4'}","{'key': 'assets', 'value': '16247'}","{'key': 'employees', 'value': '27000'}","{'key': 'mktval', 'value': '40040'}","{'key': 'sector', 'value': 'Health Care'}","{'key': 'industry', 'value': 'Medical Products and Equipment'}","{'key': 'hqcity', 'value': 'Kalamazoo'}","{'key': 'hqstate', 'value': 'MI'}","{'key': 'rankgain', 'value': 'yes'}","{'key': 'rankdrop', 'value': 'no'}","{'key': 'newcomer', 'value': 'no'}","{'key': 'profitable', 'value': 'yes'}","{'key': 'ceofounder', 'value': 'no'}","{'key': 'ceoforeign', 'value': 'yes'}","{'key': 'ceowoman', 'value': 'no'}","{'key': 'jobgrowth', 'value': 'yes'}","{'key': 'global500-y-n', 'value': 'no'}","{'key': 'best-companies-y-n', 'value': 'yes'}","{'key': 'worlds-most-admired-companies-y-n', 'value': 'yes'}","{'key': 'change-the-world-y-n', 'value': 'no'}","{'key': '100-fastest-growing-companies-y-n', 'value': 'no'}","{'fieldMeta': {'title': 'Company', 'type': 'Text', 'importField': 'title', 'order': 'desc'}, 'key': 'title', 'value': 'Stryker'}"
"{'key': 'rank', 'value': '286'}","{'key': 'revenues', 'value': '9968'}","{'key': 'revchange', 'value': '-41.3'}","{'key': 'profits', 'value': '968'}","{'key': 'prftchange', 'value': '-61.2'}","{'key': 'assets', 'value': '20975'}","{'key': 'employees', 'value': '49400'}","{'key': 'mktval', 'value': '22601'}","{'key': 'sector', 'value': 'Health Care'}","{'key': 'industry', 'value': 'Medical Products and Equipment'}","{'key': 'hqcity', 'value': 'Deerfield'}","{'key': 'hqstate', 'value': 'IL'}","{'key': 'rankgain', 'value': 'no'}","{'key': 'rankdrop', 'value': 'yes'}","{'key': 'newcomer', 'value': 'no'}","{'key': 'profitable', 'value': 'yes'}","{'key': 'ceofounder', 'value': 'no'}","{'key': 'ceoforeign', 'value': 'yes'}","{'key': 'ceowoman', 'value': 'no'}","{'key': 'jobgrowth', 'value': 'no'}","{'key': 'global500-y-n', 'value': 'no'}","{'key': 'best-companies-y-n', 'value': 'no'}","{'key': 'worlds-most-admired-companies-y-n', 'value': 'no'}","{'key': 'change-the-world-y-n', 'value': 'no'}","{'key': '100-fastest-growing-companies-y-n', 'value': 'no'}","{'fieldMeta': {'title': 'Company', 'type': 'Text', 'importField': 'title', 'order': 'desc'}, 'key': 'title', 'value': 'Baxter International'}"
"{'key': 'rank', 'value': '285'}","{'key': 'revenues', 'value': '9973'}","{'key': 'revchange', 'value': '0.1'}","{'key': 'profits', 'value': '769'}","{'key': 'prftchange', 'value': '-4.1'}","{'key': 'assets', 'value': '5858'}","{'key': 'employees', 'value': '25100'}","{'key': 'mktval', 'value': '14373'}","{'key': 'sector', 'value': 'Wholesalers'}","{'key': 'industry', 'value': 'Wholesalers: Diversified'}","{'key': 'hqcity', 'value': 'Lake Forest'}","{'key': 'hqstate', 'value': 'IL'}","{'key': 'rankgain', 'value': 'yes'}","{'key': 'rankdrop', 'value': 'no'}","{'key': 'newcomer', 'value': 'no'}","{'key': 'profitable', 'value': 'yes'}","{'key': 'ceofounder', 'value': 'no'}","{'key': 'ceoforeign', 'value': 'no'}","{'key': 'ceowoman', 'value': 'no'}","{'key': 'jobgrowth', 'value': 'yes'}","{'key': 'global500-y-n', 'value': 'no'}","{'key': 'best-companies-y-n', 'value': 'no'}","{'key': 'worlds-most-admired-companies-y-n', 'value': 'yes'}","{'key': 'change-the-world-y-n', 'value': 'no'}","{'key': '100-fastest-growing-companies-y-n', 'value': 'no'}","{'fieldMeta': {'title': 'Company', 'type': 'Text', 'importField': 'title', 'order': 'desc'}, 'key': 'title', 'value': 'W.W. Grainger'}"
"{'key': 'rank', 'value': '284'}","{'key': 'revenues', 'value': '9989'}","{'key': 'revchange', 'value': '-12.2'}","{'key': 'profits', 'value': '869'}","{'key': 'prftchange', 'value': '61.8'}","{'key': 'assets', 'value': '21180'}","{'key': 'employees', 'value': '22080'}","{'key': 'mktval', 'value': '12308'}","{'key': 'sector', 'value': 'Technology'}","{'key': 'industry', 'value': 'Internet Services and Retailing'}","{'key': 'hqcity', 'value': 'Englewood'}","{'key': 'hqstate', 'value': 'CO'}","{'key': 'rankgain', 'value': 'no'}","{'key': 'rankdrop', 'value': 'yes'}","{'key': 'newcomer', 'value': 'no'}","{'key': 'profitable', 'value': 'yes'}","{'key': 'ceofounder', 'value': 'no'}","{'key': 'ceoforeign', 'value': 'no'}","{'key': 'ceowoman', 'value': 'no'}","{'key': 'jobgrowth', 'value': 'yes'}","{'key': 'global500-y-n', 'value': 'no'}","{'key': 'best-companies-y-n', 'value': 'no'}","{'key': 'worlds-most-admired-companies-y-n', 'value': 'no'}","{'key': 'change-the-world-y-n', 'value': 'no'}","{'key': '100-fastest-growing-companies-y-n', 'value': 'no'}","{'fieldMeta': {'title': 'Company', 'type': 'Text', 'importField': 'title', 'order': 'desc'}, 'key': 'title', 'value': 'Liberty Interactive'}"
"{'key': 'rank', 'value': '283'}","{'key': 'revenues', 'value': '10002'}","{'key': 'revchange', 'value': '4.1'}","{'key': 'profits', 'value': '2297'}","{'key': 'prftchange', 'value': '-1.1'}","{'key': 'assets', 'value': '86936'}","{'key': 'employees', 'value': '15036'}","{'key': 'mktval', 'value': '21091'}","{'key': 'sector', 'value': 'Financials'}","{'key': 'industry', 'value': 'Commercial Banks'}","{'key': 'hqcity', 'value': 'Riverwoods'}","{'key': 'hqstate', 'value': 'IL'}","{'key': 'rankgain', 'value': 'yes'}","{'key': 'rankdrop', 'value': 'no'}","{'key': 'newcomer', 'value': 'no'}","{'key': 'profitable', 'value': 'yes'}","{'key': 'ceofounder', 'value': 'no'}","{'key': 'ceoforeign', 'value': 'no'}","{'key': 'ceowoman', 'value': 'no'}","{'key': 'jobgrowth', 'value': 'yes'}","{'key': 'global500-y-n', 'value': 'no'}","{'key': 'best-companies-y-n', 'value': 'no'}","{'key': 'worlds-most-admired-companies-y-n', 'value': 'yes'}","{'key': 'change-the-world-y-n', 'value': 'no'}","{'key': '100-fastest-growing-companies-y-n', 'value': 'no'}","{'fieldMeta': {'title': 'Company', 'type': 'Text', 'importField': 'title', 'order': 'desc'}, 'key': 'title', 'value': 'Discover Financial Services'}"
